net.sta,lon,lat,alt
CH.GRIMS,8.319,46.578,1746.0
CH.METMA,8.253,47.712,671.0
CH.NALPS,8.748,46.595,2345.7
CH.ROTHE,7.921,47.476,681.0
CH.SGT01,9.319,47.432,799.0
CH.SGT02,9.248,47.513,569.0
CH.SGT03,9.199,47.366,873.0
CH.SGT04,9.349,47.348,987.0
CH.SGT05,9.456,47.442,856.0
CH.WALHA,9.123,47.753,419.0
CZ.CKRC,14.31,48.82,500.0
CZ.PBCC,13.995,49.686,465.0
CZ.PRA,14.433,50.07,225.0
CZ.SKAC,14.136,50.568,349.0
FR.OG35,5.571,46.045,896.0
FR.OGSM,5.697,45.609,532.0
FR.RSL,6.625,45.688,1590.0
FR.WLS,7.354,48.413,778.0
GR.BKSB,9.4,52.995,60.0
GR.GOLD,9.426,52.922,38.0
GR.KAST,8.416,51.203,616.0
GR.RETHO,9.361,52.738,20.0
GR.TMO22,8.185,49.219,134.0
GR.UBR,10.107,47.68,903.0
GU.REMY,7.156,45.838,2390.0
HS.ERNH,8.73,49.777,318.0
HS.HECH,8.283,49.962,164.0
NL.VEN2,6.094,51.428,25.0
NR.NE018,7.097,52.968,0.0
NR.NE117,7.12,53.213,0.0
PL.NIE,20.3,49.418,645.0
SI.LUSI,10.944,45.96,860.0
SL.DOBS,15.47,46.15,465.0
SL.MOZS,14.443,46.294,660.0
TH.ABG1,12.576,50.968,240.0
TH.BBWF,10.504,50.735,400.0
TH.CHRS,10.819,51.61,534.0
TH.CRUX,10.792,50.602,712.0
TH.GRZ1,12.22,50.691,401.0
TH.WESF,11.212,50.537,739.0
TH.ZEITZ,12.126,51.051,158.0
TH.ZEU,11.977,50.671,331.0
YP.CT54,7.345,45.36,898.0
YP.CT55,7.9,45.5,375.0
YP.CT56,8.514,45.578,270.0
ZV.BCH,14.468,49.291,390.0
ZV.JES,17.189,50.241,620.0
ZV.KRN,17.713,50.08,362.0
ZV.LOS,17.032,50.023,382.0
ZV.ZKO,14.468,48.855,465.0
CH.ACB,8.255,47.588,468.0
CH.MTI02,7.165,47.379,508.0
GR.RETH,9.361,52.738,-150.0
HS.RIED,8.398,49.838,84.0
ST.DOSS,11.188,45.881,1660.0
ST.GAGG,10.959,46.084,1617.0
TH.ANNA,12.644,50.884,249.0
TH.LEIB1,11.198,50.576,451.0
TH.MEIN,10.461,50.565,491.0
TH.NEUST,10.864,51.578,428.0
WB.LAC,12.625,50.051,838.0
XT.AAE01,13.432,50.607,590.0
XT.AAE03,13.43,50.431,305.0
XT.AAE05,13.37,50.252,301.0
XT.AAE06,13.252,50.175,545.0
XT.AAE07,13.422,50.073,455.0
XT.AAE08,13.232,49.991,409.0
XT.AAE09,13.414,49.889,493.0
XT.AAE12,13.263,49.604,360.0
XT.AAE14,13.249,49.443,386.0
XT.AAE15,13.414,49.365,680.0
XT.AAE16,13.219,49.264,643.0
XT.AAE17,13.438,49.155,890.0
XT.AAE18,13.216,49.098,685.0
XT.AAE19,13.482,48.971,1175.0
XT.AAE20,13.298,48.89,615.0
XT.AAE21,13.419,48.804,555.0
XT.AAE22,13.262,48.719,462.0
XT.AAE23,13.428,48.642,490.0
XT.AAE25,13.408,48.467,392.0
XT.AAE26,13.288,48.357,380.0
XT.AAE28,13.263,48.186,463.0
XT.AAE29,13.448,48.09,611.0
XT.AAE31,13.436,47.913,667.0
XT.AAE32,13.273,47.819,778.0
XT.AAE33,13.431,47.728,551.0
XT.AAE35,13.426,47.549,917.0
XT.AAE36,13.249,47.454,962.0
XT.AAE37,13.437,47.368,1019.0
XT.AAE38,13.253,47.273,1451.0
XT.AAE40,13.213,47.104,1369.0
XT.AAE41,13.435,47.01,943.0
XT.AAE42,13.27,46.909,1221.0
XT.AAE43,13.438,46.841,797.0
XT.AAE44,13.249,46.733,1136.0
XT.AAE45,13.415,46.634,677.0
XT.AAE47,13.438,46.463,1301.0
XT.AAE48,13.27,46.38,426.0
XT.AAE49,13.401,46.307,735.0
XT.AAE50,13.266,46.202,281.0
XT.AAE51,13.432,46.129,190.0
XT.AAE52,13.294,46.014,73.0
XT.AAE53,13.402,45.925,46.0
XT.AAE54,13.258,45.842,13.0
XT.AAE55,13.421,45.755,1.0
ZV.BTV,15.7,48.943,406.0
ZV.G1107,14.77,49.004,440.0
ZV.KUKS,15.889,50.399,297.0
ZV.NOH,14.782,48.791,510.0
ZV.OPOC,16.116,50.264,302.0
BW.TON,11.289,48.174,564.0
FR.MOF,7.134,47.851,1104.0
FR.STR,7.763,48.58,135.0
GR.HAM4,10.239,53.479,10.0
GR.LNIZ,14.21,53.494,13.0
GR.MILB,9.292,49.828,369.0
HS.MESS,8.771,49.904,226.0
HU.AMBH,20.726,46.35,91.0
HU.BSZH,20.267,47.3,82.0
HU.BUD,19.02,47.483,196.0
HU.CSKK,18.26,47.363,320.0
HU.EGYH,17.332,47.416,126.0
HU.KOVH,18.1,46.088,270.0
HU.LTVH,21.901,47.385,112.0
HU.MORH,18.644,46.215,132.0
HU.MPLH,17.535,47.171,337.0
HU.SOP,16.557,47.681,260.0
HU.TRPA,22.539,48.13,113.0
IV.MILN,9.232,45.48,125.0
NI.CLUD,12.881,46.457,635.0
NI.MPRI,12.988,46.241,762.0
NI.VARN,12.105,45.992,1265.0
NI.ZOU2,12.973,46.558,1911.0
NL.BING,5.927,50.971,80.0
NL.MAME,5.973,50.801,154.0
NL.ROLD,6.085,50.869,145.0
OE.MOTA,11.104,47.345,1575.0
OE.SQTA,11.209,47.22,1307.0
OE.WATA,11.576,47.336,1492.0
SL.CRNS,14.261,46.081,712.0
SL.GBAS,14.443,45.935,524.7
SL.GBRS,14.81,45.531,610.2
SL.GCIS,15.628,45.867,385.0
SL.GORS,14.0,46.317,1048.0
SL.SKDS,14.014,45.546,552.0
SL.VOJS,13.888,46.032,1072.0
SX.MUHB,12.342,51.658,115.0
TH.THWA,10.677,50.763,699.0
WB.STC,12.52,50.259,666.0
XT.AAE02,13.253,50.511,843.0
XT.AAE10,13.251,49.8,353.0
XT.AAE11,13.469,49.703,345.0
XT.AAE13,13.455,49.529,480.0
XT.AAE24,13.274,48.531,434.0
XT.AAE27,13.434,48.28,385.0
XT.AAE34,13.261,47.636,1479.0
XT.AAE39,13.419,47.186,1542.0
XT.AAE46,13.254,46.564,1908.0
YI.SG01,6.58,45.651,1613.0
YI.SG05,6.578,45.651,1619.0
YI.SG06,6.578,45.65,1584.0
YI.SG07,6.578,45.65,1580.0
YI.SG08,6.579,45.65,1574.0
YI.SG09,6.579,45.651,1569.0
YI.SG10,6.58,45.65,1571.0
YI.SG11,6.58,45.651,1597.0
YI.SG12,6.58,45.65,1612.0
YI.SG13,6.579,45.651,1561.0
YI.SG14,6.579,45.651,1582.0
YI.SG15,6.579,45.652,1617.0
YI.SG17,6.581,45.651,1636.0
YI.SG18,6.581,45.652,1686.0
YI.SG19,6.583,45.646,1610.0
YI.SG20,6.577,45.643,1612.0
Z3.A005A,16.121,48.378,176.0
Z3.A006A,16.02,48.74,230.0
Z3.A007A,15.529,48.716,484.0
Z3.A009A,16.09,47.678,469.0
Z3.A013A,15.406,48.064,530.0
Z3.A014A,15.162,48.348,773.0
Z3.A015A,14.994,48.933,500.0
Z3.A017A,14.759,47.948,589.0
Z3.A018A,15.078,47.744,748.0
Z3.A021A,15.825,46.757,265.0
Z3.A022A,14.733,48.635,777.0
Z3.A023A,14.071,48.461,587.0
Z3.A024A,14.137,48.213,303.0
Z3.A025A,14.416,47.521,794.0
Z3.A026A,14.552,46.933,800.0
Z3.A027A,14.007,46.816,1217.0
Z3.A028A,13.996,47.103,1105.0
Z3.A029A,13.761,47.43,992.0
Z3.A031A,13.497,48.427,366.0
Z3.A033A,13.126,47.48,827.0
Z3.A034A,13.079,46.909,1050.0
Z3.A072A,13.174,49.468,495.0
Z3.A073A,13.233,49.992,407.0
Z3.A076A,14.149,49.617,532.0
Z3.A081A,15.034,50.075,228.0
Z3.A084A,15.701,48.943,403.0
Z3.A086A,16.146,49.853,391.0
Z3.A087A,16.889,49.705,430.0
Z3.A088A,17.291,49.43,211.0
Z3.A090A,17.828,49.366,659.0
Z3.A126A,8.492,48.989,182.0
Z3.A286A,8.834,45.366,170.0
Z3.A331A,18.221,49.15,427.0
Z3.A332A,18.464,48.804,359.0
Z3.A335A,18.336,48.447,320.0
Z3.A337A,17.79,48.244,117.0
Z3.A339A,17.656,47.829,110.0
9S.ILL11,7.634,46.307,665.2
BQ.DREG,6.23,50.662,412.0
BW.ALFT,11.28,48.142,593.0
BW.BDGS,13.028,47.635,539.0
BW.BE1,11.221,47.911,746.0
BW.BIB,11.247,48.152,599.0
BW.GELB,11.251,48.163,628.0
BW.GRMB,11.264,48.141,656.0
BW.KW1,12.597,48.122,514.0
BW.MANZ,12.108,49.986,635.0
BW.RJOB,12.796,47.737,860.0
BW.RMOA,12.864,47.762,815.0
BW.RNON,12.867,47.741,555.0
BW.ROTZ,12.207,49.767,430.0
BW.RTBE,12.824,47.745,1162.0
BW.SCE,11.709,47.038,1730.0
CH.FULLY,7.136,46.156,603.0
